501,393
658,339
255,277
899,198
529,152
373,207
274,392
819,105
120,332
120,198
235,159
777,261
857,287
319,146
236,353
187,182
63,185
411,161
472,158
181,338
759,326
74,85
694,285
692,211
824,186
269,216
622,389
661,151
701,167
952,336
550,440
261,340
468,403
179,120
79,287
889,135
422,103
510,281
97,71
441,252
228,139
354,338
227,230
659,301
92,276
588,353
788,362
136,370
821,263
469,290
470,329
628,130
761,129
253,140
547,110
847,312
483,72
588,210
109,117
563,173
719,122
720,246
688,379
196,280
920,272
474,207
326,101
433,302
748,168
393,381
408,207
813,321
884,341
353,89
868,102
945,172
196,147
364,115
598,406
558,383
293,139
